"id","name","capacity","capacity_electric","capacity_women","parent_child_parking_available","disabled_available","capacity_disabled","opening_times_mo_to_th","opening_times_fr","opening_times_sa","opening_times_su","height","price_per_30_minutes","price_until_30_minutes","price_1st_hour","price_2nd_hour","price_per_hour","price_per_day","night_price_per_hour_20_to_8","night_price_max","su_price_30_minutes","su_price_day","website","lat","lon","address","notes"
1,"PH Theater",793,0,46,TRUE,TRUE,"10",[7:24],[7:24],[9:24],[9:24],2,,,2,2,1.50,15,1,5,,,"https://www.wbi-muenster.de/parken-in-muenster/uebersicht.php",51.965812,7.626812,"Tibusstraße 18, 48143 Münster, Germany",
2,"PP Hörsterplatz",202,0,,,,"0",[7:22],[7:22],[7:22],[12:21],,1,,,,,20,,,1,18,"https://www.westfalenfleiss.de/standorte-parkpl%C3%A4tze.html",51.964437,7.632062,"Ritterstraße 38, 48143 Münster, Germany","Evening rate, if payed in advance: Mo-Sa from 19:00: 4EUR, from 20:00: 2EUR"
3,"PH Alter Steinweg",390,2,0,TRUE,TRUE,"4",[0:24],[0:24],[0:24],[0:24],2.10,,,2,2,1.50,15,1,5,,,"https://www.wbi-muenster.de/parken-in-muenster/uebersicht.php",51.961938,7.631813,"Alter Steinweg 21, 48143 Münster, Germany",
4,"Busparkplatz",78,0,,,,"0",[7:21],[7:21],[7:21],,,0.60,,,,,12,,,4,4,"https://www.westfalenfleiss.de/standorte-parkpl%C3%A4tze.html",51.965688,7.616812,"Schlossplatz 24-26, 48143 Münster, Germany","Evening rate, if payed in advance: Mo-Sa from 18:00: 2.5EUR, from 19:00: 1.5EUR/  additiolly 15 bus parking spaces/ opens sunday at events (09:00 - 21:00)"
5,"PP Schlossplatz Nord",450,0,,,,"0",[7:21],[7:21],[7:21],,,0.60,,,,,12,,,4,4,"https://www.westfalenfleiss.de/standorte-parkpl%C3%A4tze.html",51.964437,7.616938,"Schlossplatz, 48149 Münster, Germany","Evening rate, if payed in advance: Mo-Sa from 18:00: 2.5EUR, from 19:00: 1.5EUR/  camper have to pay doubled price/ opens sunday at events (09:00 - 21:00)"
6,"PP Schlossplatz Süd",450,0,,,,"0",[7:21],[7:21],[7:21],,,0.60,,,,,12,,,4,4,"https://www.westfalenfleiss.de/standorte-parkpl%C3%A4tze.html",51.962688,7.617313,"Schlossplatz 1, 48143 Münster, Germany","Evening rate, if payed in advance: Mo-Sa from 18:00: 2.5EUR, from 19:00: 1.5EUR/ no space for campers/ opens sunday at events (09:00 - 21:00)"
7,"PH Aegidii",780,0,46,TRUE,TRUE,"4",[7:24],[7:24],[7:24],,1.90,,,2,2,1.50,15,1,5,,,"https://www.wbi-muenster.de/parken-in-muenster/uebersicht.php",51.96084,7.62258,"Aegidiimarkt 1-7, 48143 Münster, Germany",
8,"PP Georgskommende",272,0,,,,,[7:21],[7:21],[7:21],,,1,,,,,20,,,,5,"https://www.westfalenfleiss.de/standorte-parkpl%C3%A4tze.html",51.959437,7.619438,"Georgskommende, 48143 Münster, Germany","opens sunday at events (09:00 - 21:00)"
9,"PH Münster Arkaden",250,1,0,TRUE,TRUE,"2",[8:23],[8:23],[8:23],[10:23],2.40,,,2,2,1.50,15,,,,,"https://www.wbi-muenster.de/parken-in-muenster/uebersicht.php",51.959812,7.626313,"Ludgeristraße 100, 48143 Münster, Germany",
10,"PH Karstadt",183,0,,,TRUE,,[7.30:20.30],[7.30:20.30],[7.30:20.30],,2.10,,,,,2,20,,,,,"https://www.galeria.de/on/demandware.store/Sites-Galeria-Site/de/Stores-Details?StoreID=001174",51.960812,7.630062,"Salzstraße 47, 48143 Münster, Germany",
11,"PH Stubengasse",318,0,0,TRUE,TRUE,"4",[7:24],[7:24],[7:24],,2.10,,,2,2,1.50,15,,,,,"https://www.wbi-muenster.de/parken-in-muenster/uebersicht.php",51.959812,7.630187,"Loerstraße 16, 48143 Münster, Germany",
12,"PH Bremer Platz",416,0,0,TRUE,TRUE,"8",[0:24],[0:24],[0:24],[0:24],2,,1,1.50,1.50,1,10,0.50,3,,,"https://www.wbi-muenster.de/parken-in-muenster/uebersicht.php",51.957563,7.637812,"Bremer Pl. 44, 48155 Münster, Germany","height ground-floor: 2.20m"
